,Unnamed: 0,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1307,1307,1.325065549559292e+18,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously & crudely not allowed. Tractors blocked doors & windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,False,False,0,0,2020-11-07,....bad things took place during those hours where legal transparency was viciously & crudely not allowed. tractors blocked doors & windows were covered with thick cardboard so that observers could not see into the count rooms. bad things happened inside. big changes took place!
1308,1308,1.3250655463422648e+18,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...",False,False,0,0,2020-11-07,"....this would also change the election result in numerous states, including pennsylvania, which everyone thought was easily won on election night, only to see a massive lead disappear, without anyone being allowed to observe, for long intervals of time, what the happened..."
1309,1309,1.3250674886950994e+18,People were screaming STOP THE COUNT & WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)! https://t.co/CW1tivI45c,False,False,0,0,2020-11-07,people were screaming stop the count & we demand transparency (as legal observers were refused admittance to count rooms)!
1310,1310,1.3250844920763474e+18,"Lawyers Press Conference at Four Seasons, Philadelphia. 11:00 A.M.",False,False,25919,7246,2020-11-07,"lawyers press conference at four seasons, philadelphia. 11:00 a.m."
1311,1311,1.3436631590858342e+18,"“Breaking News: In Pennsylvania there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”",False,False,454932,122302,2020-12-28,"“breaking news: in pennsylvania there were 205,000 more votes than there were voters. this alone flips the state to president trump.”"
1312,1312,1.3415536109965435e+18,"“@NewtGingrich Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” @OANN  Newt Gingrich gets it, we are going to WIN! https://t.co/PBHZo2LLNu https://t.co/uG2HjCEo9G",False,False,144776,40061,2020-12-23,"“ pens op-ed on election saying he will not accept joe biden as president” newt gingrich gets it, we are going to win!"
1313,1313,1.3250865901971743e+18,Four Season’s Landscaping! https://t.co/kZ6xTFOx6M,False,False,779,168,2020-11-07,four season’s landscaping!
1314,1314,1.3415654055093944e+18,"Statement by Donald J. Trump, The President of the United States

Full Video: https://t.co/avKfYctPAD https://t.co/i8IMLhH53Q",False,False,270968,86918,2020-12-23,"statement by donald j. trump, the president of the united states full video:"
1315,1315,1.325087011464749e+18,Big press conference today in Philadelphia at Four Seasons Total Landscaping — 11:30am!,False,False,470729,70750,2020-11-07,big press conference today in philadelphia at four seasons total landscaping — 11:30am!
1316,1316,1.3250907480359854e+18,"Lawyer’s Press Conference at Four Season’s Landscaping, Philadelphia. Enjoy!",False,False,27097,6569,2020-11-07,"lawyer’s press conference at four season’s landscaping, philadelphia. enjoy!"
1317,1317,1.341043284542714e+18,"Governor @BrianKempGA and his puppet @GeoffDuncanGA, together with the Secretary of State of Georgia, are very slow on Signature Verification, and won’t allow Fulton County to be examined. What are these RINOS hiding? We will easily win Presidential State race. @KLoeffler and....",False,False,175442,43884,2020-12-21,"governor and his puppet , together with the secretary of state of georgia, are very slow on signature verification, and won’t allow fulton county to be examined. what are these rinos hiding? we will easily win presidential state race. and...."
1318,1318,1.3417928320933642e+18,They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people! @BrianKempGA,False,False,291241,73872,2020-12-23,they are slow walking the signature verification in georgia. they don’t want results to get out prior to january 6th. they know what they are trying so hard to hide. terrible people!
1319,1319,1.325096422799237e+18,Georgia Counties Using Same Software as Michigan Counties Also Encounter ‘Glitch’ https://t.co/N2KlEOezGi via @BreitbartNews What a total mess this “election” has been!,False,False,295359,78384,2020-11-07,georgia counties using same software as michigan counties also encounter ‘glitch’ via what a total mess this “election” has been!
1320,1320,1.325099845045072e+18,"I WON THIS ELECTION, BY A LOT!",False,False,1188311,190721,2020-11-07,"i won this election, by a lot!"
1321,1321,1.3429743750086e+18,"....Courts are bad, the FBI and “Justice” didn’t do their job, and the United States Election System looks like that of a third world country. Freedom of the press has been gone for a long time, it is Fake News, and now we have Big Tech (with Section 230) to deal with....",False,False,196315,43525,2020-12-26,"....courts are bad, the fbi and “justice” didn’t do their job, and the united states election system looks like that of a third world country. freedom of the press has been gone for a long time, it is fake news, and now we have big tech (with section 230) to deal with...."
1322,1322,1.3429743772189942e+18,"....But when it is all over, and this period of time becomes just another ugly chapter in our Country’s history, WE WILL WIN!!!",False,False,241940,54057,2020-12-26,"....but when it is all over, and this period of time becomes just another ugly chapter in our country’s history, we will win!!!"
1323,1323,1.3251947094430802e+18,"THE OBSERVERS WERE NOT ALLOWED INTO THE COUNTING ROOMS. I WON THE ELECTION, GOT 71,000,000 LEGAL VOTES. BAD THINGS HAPPENED WHICH OUR OBSERVERS WERE NOT ALLOWED TO SEE. NEVER HAPPENED BEFORE. MILLIONS OF MAIL-IN BALLOTS WERE SENT TO PEOPLE WHO NEVER ASKED FOR THEM!",False,False,683888,128595,2020-11-07,"the observers were not allowed into the counting rooms. i won the election, got 71,000,000 legal votes. bad things happened which our observers were not allowed to see. never happened before. millions of mail-in ballots were sent to people who never asked for them!"
1324,1324,1.325195021339988e+18,"71,000,000 Legal Votes. The most EVER for a sitting President!",False,False,978022,157628,2020-11-07,"71,000,000 legal votes. the most ever for a sitting president!"
1325,1325,1.3411694192595313e+18,"“Conservatives Call on State Legislators to Appoint New Electors, in Accordance with the Constitution”
https://t.co/V2akcgvlHD",False,False,177220,52081,2020-12-21,"“conservatives call on state legislators to appoint new electors, in accordance with the constitution”"
1326,1326,1.3254324762155008e+18,...and Detroit with a long series of election problems (to put it mildly).” @JonathanTurley,False,False,216171,33687,2020-11-08,...and detroit with a long series of election problems (to put it mildly).”
1327,1327,1.325432472985809e+18,"....how these ballots were authenticated, because if there’s a problem in the system about authentication, that would seriously affect the ENTIRE ELECTION - And what concerns me is that we had over a hundred million mail-in ballot in cites like Philladelphia...",False,False,236806,39342,2020-11-08,"....how these ballots were authenticated, because if there’s a problem in the system about authentication, that would seriously affect the entire election - and what concerns me is that we had over a hundred million mail-in ballot in cites like philladelphia..."
1328,1328,1.3254324690432369e+18,"....Supreme Court Justice to compel them to separate ballots that were received after the legislative deadline. It required the intervention of Justice Alito. That’s a large group of ballots. When you talk about systemic problems, it’s about...",False,False,97324,20674,2020-11-08,"....supreme court justice to compel them to separate ballots that were received after the legislative deadline. it required the intervention of justice alito. that’s a large group of ballots. when you talk about systemic problems, it’s about..."
1329,1329,1.325432465415164e+18,“We should look at the votes. We’re just beginning the tabulation stage. We should look at these allegations. We’re seeing a number of affidavits that there has been voter fraud. We have a history in this country of election problems. In Pennsylvania you had an order by a...,False,False,390753,76567,2020-11-08,“we should look at the votes. we’re just beginning the tabulation stage. we should look at these allegations. we’re seeing a number of affidavits that there has been voter fraud. we have a history in this country of election problems. in pennsylvania you had an order by a...
