,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1363,1.3441736849830175e+18,"New Lott study estimates 11,350 absentee votes lost to Trump in Georgia. Another 289,000 ""excess (fraudulent) votes"" across GA, AZ, MI, NV, PA, and WI. Check it out! ➡️https://t.co/eIBjdmox5R https://t.co/2MlKVbBoLO",False,False,131000,38166,2020-12-30,"New Lott study estimates 11,350 absentee votes lost to Trump in Georgia. Another 289,000 ""excess (fraudulent) votes"" across GA, AZ, MI, NV, PA, and WI. Check it out! ️"
1364,1.3442594052740874e+18,"“Barack Obama was toppled from the top spot and President Trump claimed the title of the year’s Most Admired Man. Trump number one, Obama number two, and Joe Biden a very distant number three. That’s also rather odd given the fact that on November 3rd, Biden allegedly racked up",False,False,189893,42753,2020-12-30,"“Barack Obama was toppled from the top spot and President Trump claimed the title of the year’s Most Admired Man. Trump number one, Obama number two, and Joe Biden a very distant number three. That’s also rather odd given the fact that on November 3rd, Biden allegedly racked up"
1365,1.3442594065114317e+18,"...millions more votes than Trump, but can’t get anywhere close to him in this poll. No incoming president has ever done as badly in this annual survey.” @MarkSteynOnline @TuckerCarlson That’s because he got millions of Fake Votes in the 2020 Election, which was RIGGED!",False,False,142278,31196,2020-12-30,"...millions more votes than Trump, but can’t get anywhere close to him in this poll. No incoming president has ever done as badly in this annual survey.” That’s because he got millions of Fake Votes in the 2020 Election, which was RIGGED!"
1367,1.344262826261676e+18,The Federal Government has distributed the vaccines to the states. Now it is up to the states to administer. Get moving!,False,False,179264,30881,2020-12-30,The Federal Government has distributed the vaccines to the states. Now it is up to the states to administer. Get moving!
1368,1.3442720697275556e+18,$2000 ASAP!,False,False,302827,55513,2020-12-30,$2000 ASAP!
1369,1.3442887008517448e+18,"Hearings from Atlanta on the Georgia Election overturn now being broadcast. Check it out. @OANN @newsmax and many more. @BrianKempGA should resign from office. He is an obstructionist who refuses to admit that we won Georgia, BIG! Also won the other Swing States.",False,False,183200,49303,2020-12-30,"Hearings from Atlanta on the Georgia Election overturn now being broadcast. Check it out. and many more. should resign from office. He is an obstructionist who refuses to admit that we won Georgia, BIG! Also won the other Swing States."
1370,1.3443086412860047e+18,"Hearings from Atlanta on the Georgia Election overturn now being broadcast LIVE via @RSBNetwork! 
https://t.co/ogBvLbKfqG",False,False,129540,32791,2020-12-30,Hearings from Atlanta on the Georgia Election overturn now being broadcast LIVE via !
1371,1.3443582715708744e+18,"Thank you, a great honor! https://t.co/9GfT5c8hY0",False,False,206717,44291,2020-12-30,"Thank you, a great honor!"
1372,1.3443590347161068e+18,"Twitter is shadow banning like never before. A disgrace that our weak and ineffective political leadership refuses to do anything about Big Tech. They’re either afraid or stupid, nobody really knows!",False,False,259126,63698,2020-12-30,"Twitter is shadow banning like never before. A disgrace that our weak and ineffective political leadership refuses to do anything about Big Tech. They’re either afraid or stupid, nobody really knows!"
1373,1.3443593128781496e+18,"JANUARY SIXTH, SEE YOU IN DC!",False,False,457576,88900,2020-12-30,"JANUARY SIXTH, SEE YOU IN DC!"
1374,1.344367336715858e+18,"The United States had more votes than it had people voting, by a lot. This travesty cannot be allowed to stand. It was a Rigged Election, one not even fit for third world countries!",False,False,281802,74084,2020-12-30,"The United States had more votes than it had people voting, by a lot. This travesty cannot be allowed to stand. It was a Rigged Election, one not even fit for third world countries!"
1375,1.344394741031514e+18,Watching @FoxNews is almost as bad as watching Fake News @CNN. New alternatives are developing!,False,False,265625,49692,2020-12-30,Watching is almost as bad as watching Fake News . New alternatives are developing!
1376,1.344397397280088e+18,".@BrianKempGA, his puppet Lt. Governor @GeoffDuncanGA, and Secretary of State, are disasters for Georgia. Won’t let professionals get anywhere near Fulton County for signature verifications, or anything else. They are virtually controlled by @staceyabrams & the Democrats. Fools!",False,False,172187,46133,2020-12-30,"., his puppet Lt. Governor , and Secretary of State, are disasters for Georgia. Won’t let professionals get anywhere near Fulton County for signature verifications, or anything else. They are virtually controlled by & the Democrats. Fools!"
1377,1.3444006460663316e+18,We now have far more votes than needed to flip Georgia in the Presidential race. Massive VOTER FRAUD took place. Thank you to the Georgia Legislature for today’s revealing meeting!,False,False,348110,85675,2020-12-30,We now have far more votes than needed to flip Georgia in the Presidential race. Massive VOTER FRAUD took place. Thank you to the Georgia Legislature for today’s revealing meeting!
1378,1.3448520436814356e+18,"Finished off the year with the highest Stock Market in history. Setting records with your 401k’s, just like I said you would. Congratulations to all!",False,False,377120,59151,2021-01-01,"Finished off the year with the highest Stock Market in history. Setting records with your 401k’s, just like I said you would. Congratulations to all!"
1379,1.344853996977197e+18,Sen. Josh Hawley Slams Walmart Tweet Calling Him a ‘Sore Loser‘ https://t.co/wmShnPcrzj via @BreitbartNews America is proud of Josh and the many others who are joining him. The USA cannot have fraudulent elections!,False,False,151968,38293,2021-01-01,Sen. Josh Hawley Slams Walmart Tweet Calling Him a ‘Sore Loser‘ via America is proud of Josh and the many others who are joining him. The USA cannot have fraudulent elections!
1380,1.3449993208319468e+18,HAPPY NEW YEAR!,False,False,680538,81782,2021-01-01,HAPPY NEW YEAR!
1381,1.345077337633788e+18,"I hope to see the great Governor of South Dakota @KristiNoem, run against RINO @SenJohnThune, in the upcoming 2022 Primary. She would do a fantastic job in the U.S. Senate, but if not Kristi, others are already lining up. South Dakota wants strong leadership, NOW!",False,False,169532,35803,2021-01-01,"I hope to see the great Governor of South Dakota , run against RINO , in the upcoming 2022 Primary. She would do a fantastic job in the U.S. Senate, but if not Kristi, others are already lining up. South Dakota wants strong leadership, NOW!"
1382,1.3450881878117007e+18,"The BIG Protest Rally in Washington, D.C., will take place at 11.00 A.M. on January 6th. Locational details to follow. StopTheSteal!",False,False,66377,19369,2021-01-01,"The BIG Protest Rally in Washington, D.C., will take place at 11.00 A.M. on January 6th. Locational details to follow. StopTheSteal!"
1383,1.3450957146873774e+18,"The BIG Protest Rally in Washington, D.C., will take place at 11.00 A.M. on January 6th. Locational details to follow. StopTheSteal!",False,False,293323,70592,2021-01-01,"The BIG Protest Rally in Washington, D.C., will take place at 11.00 A.M. on January 6th. Locational details to follow. StopTheSteal!"
1384,1.3451000895057551e+18,"Massive amounts of evidence will be presented on the 6th. We won, BIG! https://t.co/ymncRrNR5t",False,False,189034,56035,2021-01-01,"Massive amounts of evidence will be presented on the 6th. We won, BIG!"
1385,1.3451043543580262e+18,NOW! https://t.co/hjC1WW64O6,False,False,91655,26568,2021-01-01,NOW!
1386,1.345106078141395e+18,A great honor! https://t.co/U4WFBWrnF7,False,False,116173,28566,2021-01-01,A great honor!
