,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean
1330,1.3254423453960397e+18,"....Where it mattered, they stole what they had to steal. @newtgingrich",False,False,301212,48130,2020-11-08,"....Where it mattered, they stole what they had to steal."
1331,1.325442336957018e+18,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states.",False,False,516040,101484,2020-11-08,"“We believe these people are thieves. The big city machines are corrupt. This was a stolen election. Best pollster in Britain wrote this morning that this clearly was a stolen election, that it’s impossible to imagine that Biden outran Obama in some of these states."
1332,1.32551160315716e+18,Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!,False,False,689597,121194,2020-11-08,Since when does the Lamestream Media call who our next president will be? We have all learned a lot in the last two weeks!
1333,1.34381230523929e+18,"Give the people $2000, not $600. They have suffered enough! https://t.co/2jOVCnGtXS",False,False,160750,31444,2020-12-29,"Give the people $2000, not $600. They have suffered enough!"
1334,1.3247505550597284e+18,"“This is what we know. We have to go back to the state level and how this morass came to be in the first instance. The Governor, Wolf, and the State Supreme Court, flagrantly violated the Constitution of the U.S. The power to set these rules and regulations is vested in the",False,False,266157,59998,2020-11-06,"“This is what we know. We have to go back to the state level and how this morass came to be in the first instance. The Governor, Wolf, and the State Supreme Court, flagrantly violated the Constitution of the U.S. The power to set these rules and regulations is vested in the"
1335,1.3255273919937864e+18,Investigators Dispatched After Fulton County Discovers ‘Issue‘ with Ballot Reporting https://t.co/lShmKksQ0O via @BreitbartNews,False,False,261975,65506,2020-11-08,Investigators Dispatched After Fulton County Discovers ‘Issue‘ with Ballot Reporting via
1336,1.3411384082745958e+18,"...WOW, he just voted against me in a Big Court Decision on voter fraud (of which there was much!), despite many pages of dissent from three highly respected Justices. One thing has nothing to do with another, but we ended up losing 4-3 in a really incorrect ruling! Great...",False,False,138631,27864,2020-12-21,"...WOW, he just voted against me in a Big Court Decision on voter fraud (of which there was much!), despite many pages of dissent from three highly respected Justices. One thing has nothing to do with another, but we ended up losing 4-3 in a really incorrect ruling! Great..."
1337,1.3411384074609254e+18,"Two years ago, the great people of Wisconsin asked me to endorse a man named Brian Hagedorn for State Supreme Court Justice, when he was getting destroyed in the Polls against a tough Democrat Candidate who had no chance of losing. After my endorsement, Hagedorn easily won!...",False,False,179509,36406,2020-12-21,"Two years ago, the great people of Wisconsin asked me to endorse a man named Brian Hagedorn for State Supreme Court Justice, when he was getting destroyed in the Polls against a tough Democrat Candidate who had no chance of losing. After my endorsement, Hagedorn easily won!..."
1338,1.3255634624335094e+18,Watch @marklevinshow at 8:00 P.M.  Will discuss the Mail-In Ballot Hoax!,False,False,404941,69697,2020-11-08,Watch at 8:00 P.M. Will discuss the Mail-In Ballot Hoax!
1340,1.3439159714808422e+18,"Weak and tired Republican “leadership” will allow the bad Defense Bill to pass. Say goodbye to VITAL Section 230 termination, your National Monuments, Forts (names!) and Treasures (inserted by Elizabeth “Pocahontas” Warren), 5G, and our great soldiers....",False,False,157939,40655,2020-12-29,"Weak and tired Republican “leadership” will allow the bad Defense Bill to pass. Say goodbye to VITAL Section 230 termination, your National Monuments, Forts (names!) and Treasures (inserted by Elizabeth “Pocahontas” Warren), 5G, and our great soldiers...."
1341,1.343915972391039e+18,"....being removed and brought home from foreign lands who do NOTHING for us. A disgraceful act of cowardice and total submission by weak people to Big Tech. Negotiate a better Bill, or get better leaders, NOW! Senate should not approve NDAA until fixed!!!",False,False,127467,29381,2020-12-29,"....being removed and brought home from foreign lands who do NOTHING for us. A disgraceful act of cowardice and total submission by weak people to Big Tech. Negotiate a better Bill, or get better leaders, NOW! Senate should not approve NDAA until fixed!!!"
1342,1.3439164183168246e+18,"$2000 for our great people, not $600! They have suffered enough from the China Virus!!!",False,False,374411,59983,2020-12-29,"$2000 for our great people, not $600! They have suffered enough from the China Virus!!!"
1344,1.3439196540083569e+18,....and Congressmen/Congresswomen Elected. I do believe they forgot!,False,False,130357,25405,2020-12-29,....and Congressmen/Congresswomen Elected. I do believe they forgot!
1345,1.3439196530689434e+18,"....Can you imagine if the Republicans stole a Presidential Election from the Democrats - All hell would break out. Republican leadership only wants the path of least resistance. Our leaders (not me, of course!) are pathetic. They only know how to lose! P.S. I got MANY Senators..",False,False,146133,31466,2020-12-29,"....Can you imagine if the Republicans stole a Presidential Election from the Democrats - All hell would break out. Republican leadership only wants the path of least resistance. Our leaders (not me, of course!) are pathetic. They only know how to lose! P.S. I got MANY Senators.."
1346,1.343919652125241e+18,"...more votes than is needed by me to win Pennsylvania, not to mention hundreds of thousands of votes in other categories which increase my already big lead into a landslide. All other Swing States show likewise. WE NEED NEW & ENERGETIC REPUBLICAN LEADERSHIP. This can not stand..",False,False,58898,15870,2020-12-29,"...more votes than is needed by me to win Pennsylvania, not to mention hundreds of thousands of votes in other categories which increase my already big lead into a landslide. All other Swing States show likewise. WE NEED NEW & ENERGETIC REPUBLICAN LEADERSHIP. This can not stand.."
1347,1.3439196513367122e+18,"“A group of Republican lawmakers in Pennsylvania say 200,000 more votes were counted in the 2020 Election than voters (100% went to Biden). State Representative Frank Ryan said they found troubling discrepancies after an analysis of Election Day data.” @FoxNews This is far....",False,False,217746,60784,2020-12-29,"“A group of Republican lawmakers in Pennsylvania say 200,000 more votes were counted in the 2020 Election than voters (100% went to Biden). State Representative Frank Ryan said they found troubling discrepancies after an analysis of Election Day data.” This is far...."
1348,1.3439980760847483e+18,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough! https://t.co/GMotstu7OI",False,False,190813,51680,2020-12-29,"Unless Republicans have a death wish, and it is also the right thing to do, they must approve the $2000 payments ASAP. $600 IS NOT ENOUGH! Also, get rid of Section 230 - Don’t let Big Tech steal our Country, and don’t let the Democrats steal the Presidential Election. Get tough!"
1349,1.3257780961512038e+18,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!",False,False,720091,96671,2020-11-09,"STOCK MARKET UP BIG, VACCINE COMING SOON. REPORT 90% EFFECTIVE. SUCH GREAT NEWS!"
1350,1.344036020162093e+18,"Loeffler, Perdue Support Increasing Relief Payments to $2K https://t.co/xLFHNDOBIR via @BreitbartNews. Republicans must support the $2000 payments and must FIGHT the crooked presidential election. We won big!",False,False,102327,26249,2020-12-29,"Loeffler, Perdue Support Increasing Relief Payments to $2K via . Republicans must support the $2000 payments and must FIGHT the crooked presidential election. We won big!"
1351,1.3440516132169933e+18,"It is up to the States to distribute the vaccines once brought to the designated areas by the Federal Government. We have not only developed the vaccines, including putting up money to move the process along quickly, but gotten them to the states. Biden failed with Swine Flu!",False,False,159149,33409,2020-12-29,"It is up to the States to distribute the vaccines once brought to the designated areas by the Federal Government. We have not only developed the vaccines, including putting up money to move the process along quickly, but gotten them to the states. Biden failed with Swine Flu!"
1352,1.344054358418346e+18,"When are we going to be allowed to do signature verification in Fulton County, Georgia? The process is going VERY slowly. @BrianKempGA Pennsylvania just found 205,000 votes more than they had voters. Therefore, we WIN Pennsylvania!!!",False,False,264243,67424,2020-12-29,"When are we going to be allowed to do signature verification in Fulton County, Georgia? The process is going VERY slowly. Pennsylvania just found 205,000 votes more than they had voters. Therefore, we WIN Pennsylvania!!!"
1355,1.32585940762069e+18,...Chris will do a GREAT job! Mark Esper has been terminated. I would like to thank him for his service.,False,False,237785,34779,2020-11-09,...Chris will do a GREAT job! Mark Esper has been terminated. I would like to thank him for his service.
1356,1.3258594063497994e+18,"I am pleased to announce that Christopher C. Miller, the highly respected Director of the National Counterterrorism Center (unanimously confirmed by the Senate), will be Acting Secretary of Defense, effective immediately..",False,False,384369,69447,2020-11-09,"I am pleased to announce that Christopher C. Miller, the highly respected Director of the National Counterterrorism Center (unanimously confirmed by the Senate), will be Acting Secretary of Defense, effective immediately.."
1358,1.3441423880638218e+18,"...The consent decree signed by the “Secretary”, with the consent of Kemp, is perhaps even more poorly negotiated than the deal that John Kerry made with Iran. Now it turns out that Brad R’s brother works for China, and they definitely don’t want “Trump”. So disgusting! #MAGA",False,False,127151,30219,2020-12-30,"...The consent decree signed by the “Secretary”, with the consent of Kemp, is perhaps even more poorly negotiated than the deal that John Kerry made with Iran. Now it turns out that Brad R’s brother works for China, and they definitely don’t want “Trump”. So disgusting! MAGA"
1359,1.3441423869355704e+18,"I love the Great State of Georgia, but the people who run it, from the Governor, @BrianKempGA, to the Secretary of State, are a complete disaster and don’t have a clue, or worse. Nobody can be this stupid. Just allow us to find the crime, and turn the state Republican....",False,False,179051,41082,2020-12-30,"I love the Great State of Georgia, but the people who run it, from the Governor, , to the Secretary of State, are a complete disaster and don’t have a clue, or worse. Nobody can be this stupid. Just allow us to find the crime, and turn the state Republican...."
1360,1.3441607885677732e+18,....other acts of fraud and irregularities as well. STAY TUNED!,False,False,133717,26638,2020-12-30,....other acts of fraud and irregularities as well. STAY TUNED!
1361,1.3441607873849713e+18,"....that, quite frankly, didn’t have much of a chance, like 7, 8 or 9. The Presidential Election was Rigged with hundreds of thousands of ballots mysteriously flowing into Swing States very late at night as everyone thought the election was easily won by me. There were many....",False,False,128681,25801,2020-12-30,"....that, quite frankly, didn’t have much of a chance, like 7, 8 or 9. The Presidential Election was Rigged with hundreds of thousands of ballots mysteriously flowing into Swing States very late at night as everyone thought the election was easily won by me. There were many...."
1362,1.3441607862525256e+18,"The Wall Street Journal’s very boring & incoherent Editorial fails to mention my big & easy wins in Texas, Florida, Ohio, Iowa & many other states that the @WSJ & other joke polls said I would lose. Also, they fail to mention the fact that I got many Republican Senators elected..",False,False,161868,34953,2020-12-30,"The Wall Street Journal’s very boring & incoherent Editorial fails to mention my big & easy wins in Texas, Florida, Ohio, Iowa & many other states that the & other joke polls said I would lose. Also, they fail to mention the fact that I got many Republican Senators elected.."
