,id,text,is_retweet,is_deleted,favorites,retweets,date,text_clean,doc,lemmas
1301,1.34138959829606e+18,"Distribution of both vaccines is going very smoothly. Amazing how many people are being vaccinated, record numbers. Our Country, and indeed the World, will soon see the great miracle of what the Trump Administration has accomplished. They said it couldn’t be done!!!",False,False,217524,36352,2020-12-22,"Distribution of both vaccines is going very smoothly. Amazing how many people are being vaccinated, record numbers. Our Country, and indeed the World, will soon see the great miracle of what the Trump Administration has accomplished. They said it couldn’t be done!!!","Distribution of both vaccines is going very smoothly. Amazing how many people are being vaccinated, record numbers. Our Country, and indeed the World, will soon see the great miracle of what the Trump Administration has accomplished. They said it couldn’t be done!!!","['distribution', 'of', 'both', 'vaccine', 'be', 'go', 'very', 'smoothly', '.', 'amazing', 'how', 'many', 'people', 'be', 'be', 'vaccinate', ',', 'record', 'number', '.', 'our', 'country', ',', 'and', 'indeed', 'the', 'world', ',', 'will', 'soon', 'see', 'the', 'great', 'miracle', 'of', 'what', 'the', 'trump', 'administration', 'have', 'accomplish', '.', 'they', 'say', 'it', 'could', 'not', 'be', 'do', '!', '!', '!']"
1302,1.3409882702437007e+18,“The President was responsible for those direct payments to Americans in the Covid-19 Relief Bill.” @kilmeade @foxandfriends And the Moderna vaccine has already started rolling out. Very smooth distribution!,False,False,146156,25159,2020-12-21,“The President was responsible for those direct payments to Americans in the Covid-19 Relief Bill.” And the Moderna vaccine has already started rolling out. Very smooth distribution!,“The President was responsible for those direct payments to Americans in the Covid-19 Relief Bill.” And the Moderna vaccine has already started rolling out. Very smooth distribution!,"['""', 'the', 'president', 'be', 'responsible', 'for', 'those', 'direct', 'payment', 'to', 'americans', 'in', 'the', 'covid-19', 'relief', 'bill', '.', '""', 'and', 'the', 'moderna', 'vaccine', 'have', 'already', 'start', 'roll', 'out', '.', 'very', 'smooth', 'distribution', '!']"
1303,1.3414054870578217e+18,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!,False,False,399989,91865,2020-12-22,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!,THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!,"['the', 'democrats', 'dumped', 'hundred', 'of', 'thousand', 'of', 'ballot', 'in', 'the', 'swing', 'state', 'late', 'in', 'the', 'evening', '.', 'it', 'be', 'a', 'rigged', 'election', '!', '!', '!']"
1304,1.3429743708226929e+18,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,",False,False,301486,78897,2020-12-26,"Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,","Time for Republican Senators to step up and fight for the Presidency, like the Democrats would do if they had actually won. The proof is irrefutable! Massive late night mail-in ballot drops in swing states, stuffing the ballot boxes (on video), double voters, dead voters,","['time', 'for', 'republican', 'senators', 'to', 'step', 'up', 'and', 'fight', 'for', 'the', 'presidency', ',', 'like', 'the', 'democrats', 'would', 'do', 'if', 'they', 'have', 'actually', 'win', '.', 'the', 'proof', 'be', 'irrefutable', '!', 'massive', 'late', 'night', 'mail', '-', 'in', 'ballot', 'drop', 'in', 'swing', 'state', ',', 'stuff', 'the', 'ballot', 'box', '(', 'on', 'video', ')', ',', 'double', 'voter', ',', 'dead', 'voter', ',']"
1305,1.3429743736328763e+18,"....fake signatures, illegal immigrant voters, banned Republican vote watchers, MORE VOTES THAN ACTUAL VOTERS (check out Detroit & Philadelphia), and much more. The numbers are far greater than what is necessary to win the individual swing states, and cannot even be contested....",False,False,70850,21383,2020-12-26,"....fake signatures, illegal immigrant voters, banned Republican vote watchers, MORE VOTES THAN ACTUAL VOTERS (check out Detroit & Philadelphia), and much more. The numbers are far greater than what is necessary to win the individual swing states, and cannot even be contested....","....fake signatures, illegal immigrant voters, banned Republican vote watchers, MORE VOTES THAN ACTUAL VOTERS (check out Detroit & Philadelphia), and much more. The numbers are far greater than what is necessary to win the individual swing states, and cannot even be contested....","['....', 'fake', 'signature', ',', 'illegal', 'immigrant', 'voter', ',', 'ban', 'republican', 'vote', 'watcher', ',', 'more', 'vote', 'than', 'actual', 'voter', '(', 'check', 'out', 'detroit', '&', 'philadelphia', ')', ',', 'and', 'much', 'more', '.', 'the', 'number', 'be', 'far', 'great', 'than', 'what', 'be', 'necessary', 'to', 'win', 'the', 'individual', 'swing', 'state', ',', 'and', 'can', 'not', 'even', 'be', 'contest', '....']"
1306,1.3415477507108004e+18,"Republicans in the Senate so quickly forget. Right now they would be down 8 seats without my backing them in the last Election. RINO John Thune, “Mitch’s boy”, should just let it play out. South Dakota doesn’t like weakness. He will be primaried in 2022, political career over!!!",False,False,224296,49649,2020-12-23,"Republicans in the Senate so quickly forget. Right now they would be down 8 seats without my backing them in the last Election. RINO John Thune, “Mitch’s boy”, should just let it play out. South Dakota doesn’t like weakness. He will be primaried in 2022, political career over!!!","Republicans in the Senate so quickly forget. Right now they would be down 8 seats without my backing them in the last Election. RINO John Thune, “Mitch’s boy”, should just let it play out. South Dakota doesn’t like weakness. He will be primaried in 2022, political career over!!!","['republicans', 'in', 'the', 'senate', 'so', 'quickly', 'forget', '.', 'right', 'now', 'they', 'would', 'be', 'down', '8', 'seat', 'without', 'my', 'back', 'they', 'in', 'the', 'last', 'election', '.', 'rino', 'john', 'thune', ',', '""', 'mitch', '’s', 'boy', '""', ',', 'should', 'just', 'let', 'it', 'play', 'out', '.', 'south', 'dakota', 'do', 'not', 'like', 'weakness', '.', 'he', 'will', 'be', 'primarie', 'in', '2022', ',', 'political', 'career', 'over', '!', '!', '!']"
1307,1.325065549559292e+18,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously & crudely not allowed. Tractors blocked doors & windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,False,False,0,0,2020-11-07,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously & crudely not allowed. Tractors blocked doors & windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously & crudely not allowed. Tractors blocked doors & windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,"['....', 'bad', 'thing', 'take', 'place', 'during', 'those', 'hour', 'where', 'legal', 'transparency', 'be', 'viciously', '&', 'crudely', 'not', 'allow', '.', 'tractor', 'block', 'door', '&', 'window', 'be', 'cover', 'with', 'thick', 'cardboard', 'so', 'that', 'observer', 'could', 'not', 'see', 'into', 'the', 'count', 'room', '.', 'bad', 'thing', 'happened', 'inside', '.', 'big', 'changes', 'take', 'place', '!']"
1308,1.3250655463422648e+18,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...",False,False,0,0,2020-11-07,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...","....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...","['....', 'this', 'would', 'also', 'change', 'the', 'election', 'result', 'in', 'numerous', 'state', ',', 'include', 'pennsylvania', ',', 'which', 'everyone', 'think', 'be', 'easily', 'win', 'on', 'election', 'night', ',', 'only', 'to', 'see', 'a', 'massive', 'lead', 'disappear', ',', 'without', 'anyone', 'be', 'allow', 'to', 'observe', ',', 'for', 'long', 'interval', 'of', 'time', ',', 'what', 'the', 'happen', '...']"
1309,1.3250674886950994e+18,People were screaming STOP THE COUNT & WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)! https://t.co/CW1tivI45c,False,False,0,0,2020-11-07,People were screaming STOP THE COUNT & WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)!,People were screaming STOP THE COUNT & WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)!,"['people', 'be', 'scream', 'stop', 'the', 'count', '&', 'we', 'demand', 'transparency', '(', 'as', 'legal', 'observers', 'be', 'refuse', 'admittance', 'to', 'count', 'room', ')', '!']"
1311,1.3436631590858342e+18,"“Breaking News: In Pennsylvania there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”",False,False,454932,122302,2020-12-28,"“Breaking News: In Pennsylvania there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”","“Breaking News: In Pennsylvania there were 205,000 more votes than there were voters. This alone flips the state to President Trump.”","['""', 'break', 'news', ':', 'in', 'pennsylvania', 'there', 'be', '205,000', 'more', 'vote', 'than', 'there', 'be', 'voter', '.', 'this', 'alone', 'flip', 'the', 'state', 'to', 'president', 'trump', '.', '""']"
