,id,date,text,keyword,context,is_retweet,is_deleted,favorites,retweets,lemmas
0,1325889532840062976,2020-11-09,"Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding things that, when released, will be absolutely shocking!",cesspool,Nevada is turning out to be a cesspool of Fake Votes. @mschlapp & @AdamLaxalt are finding,False,False,363489,78378,"['nevada', 'be', 'turn', 'out', 'to', 'be', 'a', 'cesspool', 'of', 'fake', 'votes', '.', '&', 'be', 'find', 'thing', 'that', ',', 'when', 'release', ',', 'will', 'be', 'absolutely', 'shocking', '!']"
1,1346469204740902912,2021-01-05,"Pleased to announce that @KLoeffler & @sendavidperdue have just joined our great #StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How do you certify numbers that have now proven to be wrong and, in many cases, fraudulent!",fight,our great #StopTheSteal group of Senators. They will fight the ridiculous Electoral College Certification of Biden. How,False,False,177332,42347,"['pleased', 'to', 'announce', 'that', '&', 'have', 'just', 'join', 'our', 'great', 'stopthesteal', 'group', 'of', 'senators', '.', 'they', 'will', 'fight', 'the', 'ridiculous', 'electoral', 'college', 'certification', 'of', 'biden', '.', 'how', 'do', 'you', 'certify', 'number', 'that', 'have', 'now', 'prove', 'to', 'be', 'wrong', 'and', ',', 'in', 'many', 'case', ',', 'fraudulent', '!']"
2,1346578706437963776,2021-01-05,"Washington is being inundated with people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country has had enough, they won’t take it anymore! We hear you (and love you) from the Oval Office. MAKE AMERICA GREAT AGAIN!",victory,people who don’t want to see an election victory stolen by emboldened Radical Left Democrats. Our Country,False,False,328137,82574,"['washington', 'be', 'be', 'inundate', 'with', 'people', 'who', 'do', 'not', 'want', 'to', 'see', 'an', 'election', 'victory', 'steal', 'by', 'emboldened', 'radical', 'left', 'democrats', '.', 'our', 'country', 'have', 'have', 'enough', ',', 'they', 'will', 'not', 'take', 'it', 'anymore', '!', 'we', 'hear', 'you', '(', 'and', 'love', 'you', ')', 'from', 'the', 'oval', 'office', '.', 'make', 'america', 'great', 'again', '!']"
3,1346580318745206784,2021-01-05,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune",landslide,pouring into D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune,False,False,210988,55852,"['i', 'hope', 'the', 'democrats', ',', 'and', 'even', 'more', 'importantly', ',', 'the', 'weak', 'and', 'ineffective', 'rino', 'section', 'of', 'the', 'republican', 'party', ',', 'be', 'look', 'at', 'the', 'thousand', 'of', 'people', 'pour', 'into', 'd.c.', 'they', 'will', 'not', 'stand', 'for', 'a', 'landslide', 'election', 'victory', 'to', 'be', 'steal', '.']"
4,1346580318745206784,2021-01-05,"I hope the Democrats, and even more importantly, the weak and ineffective RINO section of the Republican Party, are looking at the thousands of people pouring into D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune",victory,D.C. They won’t stand for a landslide election victory to be stolen. @senatemajldr @JohnCornyn @SenJohnThune,False,False,210988,55852,"['i', 'hope', 'the', 'democrats', ',', 'and', 'even', 'more', 'importantly', ',', 'the', 'weak', 'and', 'ineffective', 'rino', 'section', 'of', 'the', 'republican', 'party', ',', 'be', 'look', 'at', 'the', 'thousand', 'of', 'people', 'pour', 'into', 'd.c.', 'they', 'will', 'not', 'stand', 'for', 'a', 'landslide', 'election', 'victory', 'to', 'be', 'steal', '.']"
5,1326186126709821440,2020-11-10,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I TOLD YOU SO!",abuse,"WATCH FOR MASSIVE BALLOT COUNTING ABUSE AND, JUST LIKE THE EARLY VACCINE, REMEMBER I",False,False,420361,74544,"['watch', 'for', 'massive', 'ballot', 'counting', 'abuse', 'and', ',', 'just', 'like', 'the', 'early', 'vaccine', ',', 'remember', 'i', 'tell', 'you', 'so', '!']"
6,1326194143132082176,2020-11-10,"Republicans, don’t let Andrew McCabe continue to get away with totally criminal activity. What he did should never be allowed to happen to our Country again. FIGHT FOR JUSTICE!",fight,be allowed to happen to our Country again. FIGHT FOR JUSTICE!,False,False,349531,69352,"['republican', ',', 'do', 'not', 'let', 'andrew', 'mccabe', 'continue', 'to', 'get', 'away', 'with', 'totally', 'criminal', 'activity', '.', 'what', 'he', 'do', 'should', 'never', 'be', 'allow', 'to', 'happen', 'to', 'our', 'country', 'again', '.', 'fight', 'for', 'justice', '!']"
7,1346805405998075904,2021-01-06,Sleepy Eyes Chuck Todd is so happy with the fake voter tabulation process that he can’t even get the words out straight. Sad to watch!,sleepy,Sleepy Eyes Chuck Todd is so happy with the,False,False,193930,36209,"['sleepy', 'eyes', 'chuck', 'todd', 'be', 'so', 'happy', 'with', 'the', 'fake', 'voter', 'tabulation', 'process', 'that', 'he', 'can', 'not', 'even', 'get', 'the', 'word', 'out', 'straight', '.', 'sad', 'to', 'watch', '!']"
8,1346954970910707712,2021-01-06,These are the things and events that happen when a sacred landslide election victory is so unceremoniously & viciously stripped away from great patriots who have been badly & unfairly treated for so long. Go home with love & in peace. Remember this day forever!,landslide,things and events that happen when a sacred landslide election victory is so unceremoniously & viciously stripped,False,False,0,0,"['these', 'be', 'the', 'thing', 'and', 'event', 'that', 'happen', 'when', 'a', 'sacred', 'landslide', 'election', 'victory', 'be', 'so', 'unceremoniously', '&', 'viciously', 'strip', 'away', 'from', 'great', 'patriot', 'who', 'have', 'be', 'badly', '&', 'unfairly', 'treat', 'for', 'so', 'long', '.', 'go', 'home', 'with', 'love', '&', 'in', 'peace', '.', 'remember', 'this', 'day', 'forever', '!']"
9,1346954970910707712,2021-01-06,These are the things and events that happen when a sacred landslide election victory is so unceremoniously & viciously stripped away from great patriots who have been badly & unfairly treated for so long. Go home with love & in peace. Remember this day forever!,victory,events that happen when a sacred landslide election victory is so unceremoniously & viciously stripped away from,False,False,0,0,"['these', 'be', 'the', 'thing', 'and', 'event', 'that', 'happen', 'when', 'a', 'sacred', 'landslide', 'election', 'victory', 'be', 'so', 'unceremoniously', '&', 'viciously', 'strip', 'away', 'from', 'great', 'patriot', 'who', 'have', 'be', 'badly', '&', 'unfairly', 'treat', 'for', 'so', 'long', '.', 'go', 'home', 'with', 'love', '&', 'in', 'peace', '.', 'remember', 'this', 'day', 'forever', '!']"
10,1332337895584264192,2020-11-27,"No, the 2020 Election was a total scam, we won by a lot (and will hopefully turn over the fraudulent result), but we must get out and help David and Kelly, two GREAT people. Otherwise we are playing right into the hands of some very sick people. I will be in Georgia on Saturday! https://t.co/1ziqFq9S6O",sick,playing right into the hands of some very sick people. I will be in Georgia on Saturday!,False,False,139741,33998,"['no', ',', 'the', '2020', 'election', 'be', 'a', 'total', 'scam', ',', 'we', 'win', 'by', 'a', 'lot', '(', 'and', 'will', 'hopefully', 'turn', 'over', 'the', 'fraudulent', 'result', ')', ',', 'but', 'we', 'must', 'get', 'out', 'and', 'help', 'david', 'and', 'kelly', ',', 'two', 'great', 'people', '.', 'otherwise', 'we', 'be', 'play', 'right', 'into', 'the', 'hand', 'of', 'some', 'very', 'sick', 'people', '.', 'i', 'will', 'be', 'in', 'georgia', 'on', 'saturday', '!']"
11,1328483862490574848,2020-11-16,"Big victory moments ago in the State of Nevada. The all Democrat County Commissioner race, on same ballot as President, just thrown out because of large scale voter discrepancy. Clark County officials do not have confidence in their own election security. Major impact! https://t.co/TLHnFKNN6g",victory,Big victory moments ago in the State of Nevada. The,False,False,282313,73024,"['big', 'victory', 'moment', 'ago', 'in', 'the', 'state', 'of', 'nevada', '.', 'the', 'all', 'democrat', 'county', 'commissioner', 'race', ',', 'on', 'same', 'ballot', 'as', 'president', ',', 'just', 'throw', 'out', 'because', 'of', 'large', 'scale', 'voter', 'discrepancy', '.', 'clark', 'county', 'official', 'do', 'not', 'have', 'confidence', 'in', 'their', 'own', 'election', 'security', '.', 'major', 'impact', '!']"
12,1328900747497525248,2020-11-18,"Wow! Governor Kemp will hopefully see the light before it is too late. Must finally take charge! Two GREAT Senators, who do so much for Georgia and truly love the USA, are in a must win battle with two incompetents who don’t have a clue! https://t.co/j10ZRZpYjK",battle,"love the USA, are in a must win battle with two incompetents who don’t have a clue!",False,False,141230,30442,"['wow', '!', 'governor', 'kemp', 'will', 'hopefully', 'see', 'the', 'light', 'before', 'it', 'be', 'too', 'late', '.', 'must', 'finally', 'take', 'charge', '!', 'two', 'great', 'senators', ',', 'who', 'do', 'so', 'much', 'for', 'georgia', 'and', 'truly', 'love', 'the', 'usa', ',', 'be', 'in', 'a', 'must', 'win', 'battle', 'with', 'two', 'incompetent', 'who', 'do', 'not', 'have', 'a', 'clue', '!']"
13,1326519025552265216,2020-11-11,"The Fake Pollsters at @ABC/@washingtonpost produced a possibly illegal suppression Poll just before the Election showing me down 17 points in Wisconsin when, in fact, on Election Day, the race was even - & we are now preparing to win the state. Many such “deplorable” instances!",race,"Wisconsin when, in fact, on Election Day, the race was even - & we are now preparing",False,False,298631,62691,"['the', 'fake', 'pollsters', 'at', '/', 'produce', 'a', 'possibly', 'illegal', 'suppression', 'poll', 'just', 'before', 'the', 'election', 'show', 'i', 'down', '17', 'point', 'in', 'wisconsin', 'when', ',', 'in', 'fact', ',', 'on', 'election', 'day', ',', 'the', 'race', 'be', 'even', '-', '&', 'we', 'be', 'now', 'prepare', 'to', 'win', 'the', 'state', '.', 'many', 'such', '""', 'deplorable', '""', 'instance', '!']"
14,1332552283553476608,2020-11-28,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps more than anyone will ever know. The Pennsylvania votes were RIGGED. All other swing states also. The world is watching! https://t.co/zmnk34Ny23",thin,"The 1,126,940 votes were created out of thin air. I won Pennsylvania by a lot, perhaps",False,False,264054,73949,"['the', '1,126,940', 'vote', 'be', 'create', 'out', 'of', 'thin', 'air', '.', 'i', 'win', 'pennsylvania', 'by', 'a', 'lot', ',', 'perhaps', 'more', 'than', 'anyone', 'will', 'ever', 'know', '.', 'the', 'pennsylvania', 'vote', 'be', 'rigged', '.', 'all', 'other', 'swing', 'state', 'also', '.', 'the', 'world', 'be', 'watch', '!']"
15,1330361494710661120,2020-11-22,"Thanks Mark. It’s all a continuation of the never ending Witch Hunt. Judge Brann, who would not even allow us to present our case or evidence, is an appointment of Senator Pat “No Tariffs” Toomey of Pennsylvania, no friend of mine, & Obama - No wonder. 900,000 Fraudulent Votes! https://t.co/17rk2KsUPs",witch,"It’s all a continuation of the never ending Witch Hunt. Judge Brann, who would not even allow",False,True,39385,9458,"['thank', 'mark', '.', 'it', '’', 'all', 'a', 'continuation', 'of', 'the', 'never', 'end', 'witch', 'hunt', '.', 'judge', 'brann', ',', 'who', 'would', 'not', 'even', 'allow', 'we', 'to', 'present', 'our', 'case', 'or', 'evidence', ',', 'be', 'an', 'appointment', 'of', 'senator', 'pat', '""', 'no', 'tariffs', '""', 'toomey', 'of', 'pennsylvania', ',', 'no', 'friend', 'of', 'mine', ',', '&', 'obama', '-', 'no', 'wonder', '.', '900,000', 'fraudulent', 'votes', '!']"
16,1330374020613758976,2020-11-22,"Thanks Mark. It’s all a continuation of the never ending Witch Hunt. Judge Brann, who would not even allow us to present our case or evidence, is a product of Senator Pat “No Tariffs” Toomey of Pennsylvania, no friend of mine, & Obama - No wonder. 900,000 Fraudulent Votes! https://t.co/17rk2KsUPs",witch,"It’s all a continuation of the never ending Witch Hunt. Judge Brann, who would not even allow",False,False,144982,30473,"['thank', 'mark', '.', 'it', '’', 'all', 'a', 'continuation', 'of', 'the', 'never', 'end', 'witch', 'hunt', '.', 'judge', 'brann', ',', 'who', 'would', 'not', 'even', 'allow', 'we', 'to', 'present', 'our', 'case', 'or', 'evidence', ',', 'be', 'a', 'product', 'of', 'senator', 'pat', '""', 'no', 'tariffs', '""', 'toomey', 'of', 'pennsylvania', ',', 'no', 'friend', 'of', 'mine', ',', '&', 'obama', '-', 'no', 'wonder', '.', '900,000', 'fraudulent', 'votes', '!']"
17,1329087255168708608,2020-11-18,"In Detroit, there are FAR MORE VOTES THAN PEOPLE. Nothing can be done to cure that giant scam. I win Michigan!",cure,VOTES THAN PEOPLE. Nothing can be done to cure that giant scam. I win Michigan!,False,False,360087,69145,"['in', 'detroit', ',', 'there', 'be', 'far', 'more', 'vote', 'than', 'people', '.', 'nothing', 'can', 'be', 'do', 'to', 'cure', 'that', 'giant', 'scam', '.', 'i', 'win', 'michigan', '!']"
18,1329233502139715584,2020-11-19,"Look at this in Wisconsin! A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM, when they learned he was losing badly. This is unbelievable! https://t.co/nhiLMmyHBn",dump,"A day AFTER the election, Biden receives a dump of 143,379 votes at 3:42AM, when they learned",False,False,369662,118380,"['look', 'at', 'this', 'in', 'wisconsin', '!', 'a', 'day', 'after', 'the', 'election', ',', 'biden', 'receive', 'a', 'dump', 'of', '143,379', 'vote', 'at', '3:42am', ',', 'when', 'they', 'learn', 'he', 'be', 'lose', 'badly', '.', 'this', 'be', 'unbelievable', '!']"
19,1330487246236028928,2020-11-22,It’s all about the signatures on the envelopes. Why are the Democrats fighting so hard to hide them. We will find massive numbers of fraudulent ballots. The signatures won’t match. Fight hard Republicans. Don’t let them destroy the evidence! https://t.co/qN2jHGeWEN,destroy,won’t match. Fight hard Republicans. Don’t let them destroy the evidence! https://t.co/qN2jHGeWEN,False,False,155833,38419,"['it', '’', 'all', 'about', 'the', 'signature', 'on', 'the', 'envelope', '.', 'why', 'be', 'the', 'democrats', 'fight', 'so', 'hard', 'to', 'hide', 'they', '.', 'we', 'will', 'find', 'massive', 'number', 'of', 'fraudulent', 'ballot', '.', 'the', 'signature', 'will', 'not', 'match', '.', 'fight', 'hard', 'republicans', '.', 'do', 'not', 'let', 'they', 'destroy', 'the', 'evidence', '!']"
20,1330487246236028928,2020-11-22,It’s all about the signatures on the envelopes. Why are the Democrats fighting so hard to hide them. We will find massive numbers of fraudulent ballots. The signatures won’t match. Fight hard Republicans. Don’t let them destroy the evidence! https://t.co/qN2jHGeWEN,fight,numbers of fraudulent ballots. The signatures won’t match. Fight hard Republicans. Don’t let them destroy the evidence!,False,False,155833,38419,"['it', '’', 'all', 'about', 'the', 'signature', 'on', 'the', 'envelope', '.', 'why', 'be', 'the', 'democrats', 'fight', 'so', 'hard', 'to', 'hide', 'they', '.', 'we', 'will', 'find', 'massive', 'number', 'of', 'fraudulent', 'ballot', '.', 'the', 'signature', 'will', 'not', 'match', '.', 'fight', 'hard', 'republicans', '.', 'do', 'not', 'let', 'they', 'destroy', 'the', 'evidence', '!']"
